open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2025-01-08 09:00:00+00:00,95910.9,96072.6,95369.6,95401.0,4652.252,2025-01-08 09:59:59.999000+00:00,445589154.4943,95101,1852.282,177471467.4503,0
2025-01-08 10:00:00+00:00,95400.9,95964.6,95400.9,95913.0,4573.005,2025-01-08 10:59:59.999000+00:00,437504514.1978,97235,2542.414,243263284.6961,0
2025-01-08 11:00:00+00:00,95913.1,96015.8,94480.7,95093.9,17901.879,2025-01-08 11:59:59.999000+00:00,1701138978.0704,281276,7844.714,745464510.4933,0
2025-01-08 12:00:00+00:00,95093.8,95335.1,94808.5,94849.6,9095.257,2025-01-08 12:59:59.999000+00:00,864738830.0182,179230,4490.904,427017357.863,0
2025-01-08 13:00:00+00:00,94849.6,95629.0,94849.6,95343.6,9961.319,2025-01-08 13:59:59.999000+00:00,949730394.0721,215806,5225.552,498261289.2966,0
2025-01-08 14:00:00+00:00,95343.5,95848.6,94839.5,95256.9,14167.231,2025-01-08 14:59:59.999000+00:00,1350007198.6676,330431,7266.14,692544400.0568,0
2025-01-08 15:00:00+00:00,95256.8,96064.5,94588.9,95450.0,22545.668,2025-01-08 15:59:59.999000+00:00,2147077211.6048,428259,10998.008,1047736192.366,0
2025-01-08 16:00:00+00:00,95449.9,95456.2,94513.0,94744.0,9908.571,2025-01-08 16:59:59.999000+00:00,940223873.9643,245849,4674.249,443565828.6641,0
2025-01-08 17:00:00+00:00,94743.9,94813.0,92500.0,93974.8,44140.048,2025-01-08 17:59:59.999000+00:00,4130025927.2709,692431,19908.59,1862681168.3747,0
2025-01-08 18:00:00+00:00,93974.8,95080.0,93718.4,94206.2,21530.68,2025-01-08 18:59:59.999000+00:00,2031998635.8167,380865,10866.855,1025619914.6647,0
2025-01-08 19:00:00+00:00,94206.1,94820.0,94000.0,94217.2,11742.255,2025-01-08 19:59:59.999000+00:00,1108186746.9932,251051,6026.325,568803102.0425,0
2025-01-08 20:00:00+00:00,94217.1,94376.2,93711.0,93948.5,7447.487,2025-01-08 20:59:59.999000+00:00,700120242.6046,158861,3741.487,351707901.7588,0
2025-01-08 21:00:00+00:00,93949.4,94549.6,93509.8,94422.8,6978.269,2025-01-08 21:59:59.999000+00:00,656601376.1924,144657,3630.211,341731746.5357,0
2025-01-08 22:00:00+00:00,94422.8,95248.0,94414.0,95247.8,7091.579,2025-01-08 22:59:59.999000+00:00,672818627.8073,119215,4157.666,394530955.5308,0
2025-01-08 23:00:00+00:00,95247.8,95265.8,94852.1,95014.1,2999.87,2025-01-08 23:59:59.999000+00:00,285061694.4724,79225,1337.171,127061682.3705,0
2025-01-09 00:00:00+00:00,95014.0,95118.3,94766.6,95111.1,3231.024,2025-01-09 00:59:59.999000+00:00,306756139.4629,93843,1564.036,148497584.7834,0
2025-01-09 01:00:00+00:00,95111.1,95358.7,94930.9,94953.4,3702.735,2025-01-09 01:59:59.999000+00:00,352250958.8977,91280,1827.787,173901753.9821,0
2025-01-09 02:00:00+00:00,94953.4,95011.0,93405.3,94743.9,21031.092,2025-01-09 02:59:59.999000+00:00,1981079312.2801,343910,10430.457,982418183.3274,0
2025-01-09 03:00:00+00:00,94743.9,94767.8,93971.1,93985.0,4816.372,2025-01-09 03:59:59.999000+00:00,454164487.5437,115024,1905.64,179691133.9626,0
2025-01-09 04:00:00+00:00,93985.0,94447.2,93760.0,94371.9,4812.934,2025-01-09 04:59:59.999000+00:00,452765628.3237,105930,2615.196,246060998.1102,0
2025-01-09 05:00:00+00:00,94371.9,94530.0,94226.8,94428.9,2424.103,2025-01-09 05:59:59.999000+00:00,228808284.4527,64420,1248.609,117857201.2101,0
2025-01-09 06:00:00+00:00,94429.0,94582.0,94000.0,94061.0,3677.519,2025-01-09 06:59:59.999000+00:00,346718601.4503,86515,1736.938,163777126.8792,0
2025-01-09 07:00:00+00:00,94060.9,94273.6,93156.0,93176.4,12166.397,2025-01-09 07:59:59.999000+00:00,1138345894.711,203060,5237.413,490081503.7319,0
2025-01-09 08:00:00+00:00,93176.5,93364.4,92700.0,92986.9,18074.938,2025-01-09 08:59:59.999000+00:00,1680949949.9678,302021,8318.295,773756235.9246,0
