time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore,symbol,funding_rate,mark_price,return_1h,future_return_1h,future_return_4h,future_return_8h,funding_rate_diff,funding_rate_ma3
2025-03-26 00:00:00+00:00,87369.9,87771.7,87192.1,87608.0,4413.849,2025-03-26 00:59:59.999000+00:00,386288799.4713,80256,2402.169,210220176.9816,0,BTCUSDT,-2.47e-06,87463.3,0.0027263425119434803,0.002123093781389862,-0.0037211213587799996,0.0035430554287279037,0.0,-2.47e-06
2025-03-26 01:00:00+00:00,87608.1,87864.4,87525.0,87794.0,3005.97,2025-03-26 01:59:59.999000+00:00,263686224.6785,57704,1589.291,139422738.3166,0,BTCUSDT,-2.47e-06,87463.3,0.002123093781389862,-0.005794245620429628,-0.0035765542064377653,0.001215345012187674,0.0,-2.47e-06
2025-03-26 02:00:00+00:00,87794.1,87794.1,87258.1,87285.3,4391.723,2025-03-26 02:59:59.999000+00:00,384104529.7883,65245,1645.915,143944916.1381,0,BTCUSDT,-2.47e-06,87463.3,-0.005794245620429628,-0.001886915666211797,0.006562387939320846,0.010166660365491076,0.0,-2.47e-06
2025-03-26 03:00:00+00:00,87285.3,87366.0,86980.0,87120.6,5078.647,2025-03-26 03:59:59.999000+00:00,442599358.3924,79213,2363.619,206037876.3805,0,BTCUSDT,-2.47e-06,87463.3,-0.001886915666211797,0.0018526043209068366,0.011318792570299108,0.009117246667263323,0.0,-2.47e-06
2025-03-26 04:00:00+00:00,87120.6,87415.6,87000.3,87282.0,5355.272,2025-03-26 04:59:59.999000+00:00,467151845.6821,69436,2853.725,248949690.3823,0,BTCUSDT,-2.47e-06,87463.3,0.0018526043209068366,0.00226850897092179,0.007291308631791171,0.005562429825164417,0.0,-2.47e-06
2025-03-26 05:00:00+00:00,87282.1,87600.0,87181.6,87480.0,3716.567,2025-03-26 05:59:59.999000+00:00,324820507.5969,54754,2126.288,185854461.3672,0,BTCUSDT,-2.47e-06,87463.3,0.00226850897092179,0.004322130772748123,0.004809099222679469,-0.00786351165980792,0.0,-2.47e-06
2025-03-26 06:00:00+00:00,87480.0,87889.5,87400.0,87858.1,4105.28,2025-03-26 06:59:59.999000+00:00,359812508.9675,58367,2311.445,202610080.2665,0,BTCUSDT,-2.47e-06,87463.3,0.004322130772748123,0.0028295626698049414,0.0035807739980717734,-0.012952704417691696,0.0,-2.47e-06
2025-03-26 07:00:00+00:00,87858.1,88270.2,87712.0,88106.7,9488.938,2025-03-26 07:59:59.999000+00:00,835525910.2432,121654,4779.764,420861835.3046,0,BTCUSDT,-2.47e-06,87463.3,0.0028295626698049414,-0.0021371813948315443,-0.0021769059560737825,-0.01600105326836665,0.0,-2.47e-06
2025-03-26 08:00:00+00:00,88106.7,88170.6,87845.2,87918.4,4708.192,2025-03-26 08:59:59.999000+00:00,414303212.334,70199,1872.079,164726352.4656,0,BTCUSDT,-2.47e-06,87463.3,-0.0021371813948315443,-0.0002013230450053083,-0.0017163642650457334,-0.016592658647109015,0.0,-2.47e-06
2025-03-26 09:00:00+00:00,87918.3,88023.3,87781.8,87900.7,2633.594,2025-03-26 09:59:59.999000+00:00,231483480.3133,49922,1312.952,115418586.9668,0,BTCUSDT,-2.47e-06,87463.3,-0.0002013230450053083,0.00309440084094903,-0.012611958721602812,-0.01552888657314444,0.0,-2.47e-06
2025-03-26 10:00:00+00:00,87900.7,88235.0,87895.0,88172.7,4028.908,2025-03-26 10:59:59.999000+00:00,355006662.6641,64572,2059.866,181505073.2356,0,BTCUSDT,-2.47e-06,87463.3,0.00309440084094903,-0.002923807482361318,-0.016474487001078453,-0.0227315257443631,0.0,-2.47e-06
2025-03-26 11:00:00+00:00,88172.6,88207.8,87880.8,87914.9,3948.849,2025-03-26 11:59:59.999000+00:00,347729194.434,64895,1562.157,137549128.2976,0,BTCUSDT,-2.47e-06,87463.3,-0.002923807482361318,-0.0016766213690738718,-0.013854306835360153,-0.0158061943993566,0.0,-2.47e-06
2025-03-26 12:00:00+00:00,87914.9,87975.0,87546.3,87767.5,7771.086,2025-03-26 12:59:59.999000+00:00,681722523.8728,109971,3600.789,315908677.3076,0,BTCUSDT,-2.47e-06,87463.3,-0.0016766213690738718,-0.011113453157489905,-0.014901871421653778,-0.0058962600051272185,0.0,-2.47e-06
2025-03-26 13:00:00+00:00,87767.5,87871.7,86620.0,86792.1,19828.826,2025-03-26 13:59:59.999000+00:00,1730556402.7845,246969,8330.675,727482834.0114,0,BTCUSDT,-2.47e-06,87463.3,-0.011113453157489905,-0.000829568589768015,-0.0029541859224515576,0.0030982082470638606,0.0,-2.47e-06
2025-03-26 14:00:00+00:00,86792.0,87248.0,86387.7,86720.1,23703.399,2025-03-26 14:59:59.999000+00:00,2056125258.0189,320910,12067.769,1046930823.9789,0,BTCUSDT,-2.47e-06,87463.3,-0.000829568589768015,-0.00026752736678126166,-0.006361846907464441,0.0008752296180469799,0.0,-2.47e-06
2025-03-26 15:00:00+00:00,86720.1,86980.1,86502.6,86696.9,11967.432,2025-03-26 15:59:59.999000+00:00,1038385785.5006,161176,6241.661,541590294.1632,0,BTCUSDT,-2.47e-06,87463.3,-0.00026752736678126166,-0.0027371220885635816,-0.0019793095254846405,0.002040442045794233,0.0,-2.47e-06
